x,y,hodiny,tarif_kc_h,tarif_eur,typ,poznamka
-743059.8459,-1045834.1026,"Po-Ne, 8-18 h.",40,1.6,O5,
-742928.0108,-1045449.2037,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742493.8406,-1045537.3354,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742483.5675,-1045439.4714,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742021.2816,-1045235.0924,"Po-Pá, 8-18 h.",40,1.6,O3,
-742286.7581,-1045105.8686,"Po-So, 8-18 h.",40,1.6,O2,
-742003.439,-1045026.9285,"Po-So, 8-18 h.",40,1.6,O2,
-741813.1178,-1044846.8803,"Po-Pá, 8-18 h.",40,1.6,O3,
-741850.9658,-1044828.497,"Po-Pá, 8-18 h.",40,1.6,O3,
-741504.9272,-1045012.33,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742192.1382,-1044663.0473,"Po-So, 8-18 h.",40,1.6,O2,
-742317.0365,-1044700.3546,"Po-Pá, 8-18 h.",40,1.6,O3,
-742211.0622,-1044528.9574,"Po-So, 8-18 h.",40,1.6,O2,
-742412.1971,-1044430.012,"Po-Pá, 8-18 h.",40,1.6,O3,
-742390.5697,-1044381.3503,"Po-Pá, 8-18 h.",40,1.6,O3,
-742519.7934,-1044420.8203,"Po-Pá, 8-18 h.",40,1.6,O3,
-742806.0924,-1044491.6271,"Po-Pá, 8-18 h.",40,1.6,O3,
-742996.1372,-1044039.0965,"Po-Ne, 8-20 h.",40,1.6,O1,
-743015.0612,-1044237.528,"Po-Ne, 8-20 h.",40,1.6,O1,
-742991.271,-1044166.1576,"Po-Ne, 8-20 h.",40,1.6,O1,
-743034.618,-1044382.5808,"Po-Ne, 8-20 h.",40,1.6,O1,
-743081.5655,-1044478.6737,"Po-Ne, 8-20 h.",40,1.6,O1,
-743158.8835,-1044525.1726,"Po-Ne, 8-20 h.",40,1.6,O1,
-743099.9488,-1044548.9627,"Po-Ne, 8-20 h.",40,1.6,O1,
-742887.4594,-1044540.8525,"Po-Ne, 8-20 h.",30,1.2,Z4,
-742798.9944,-1044775.9015,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742615.4947,-1044826.875,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742737.6896,-1044835.5259,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742935.5804,-1044859.3161,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742558.7919,-1044862.5724,"Po-Pá, 8-18 h.",30,1.2,Z2,
-745369.7475,-1042827.7214,"Po-Ne, 8-18 h.",15,.6,Z7,
-745127.7125,-1042702.3351,"Po-Ne, 8-18 h.",30,1.2,Z6,
-745025.2652,-1042684.4068,"Po-Ne, 8-18 h.",30,1.2,Z6,
-743618.5771,-1042453.8675,"Po-Ne, 8-18 h.",40,1.6,O5,
-743686.5238,-1042488.4586,"Po-Ne, 8-18 h.",40,1.6,O5,
-743897.6327,-1043550.9145,"Po-Pá, 8-18 h.; So 8-14 h.",30,1.2,Z5,
-743363.9137,-1044049.5037,"Po-Pá, 8-18 h.",30,1.2,Z2,
-743250.167,-1044040.2131,"Po-Pá, 8-18 h.",30,1.2,Z2,
-743057.8272,-1043892.5685,"Po-So, 8-18 h.",40,1.6,O2,
-743027.9467,-1043795.8964,"Po-So, 8-18 h.",40,1.6,O2,
-743023.1759,-1043707.2593,"Po-So, 8-18 h.",40,1.6,O2,
-742864.7341,-1043892.3174,"Po-So, 8-18 h.",40,1.6,O2,
